,price,total_square,rooms,floor,distance_to_center
43990,18950000,61,2,11,10.692373625116344
43991,28990000,54,3,2,4.401462267096508
43992,8500000,47,1,3,23.083322241545194
43993,64000000,97,4,2,2.2307800756300176
43994,56481000,123,1,5,7.553939167885415
43995,49000000,81,3,6,6.552431775181489
43996,19915524,36,1,4,9.267259461219341
43997,59230010,120,3,10,6.000857822039588
43998,265000000,353,6,1,11.270414131899853
43999,113900000,220,5,16,7.919987724897881
44000,26550000,81,3,2,9.024158379732283
44001,48000000,135,4,2,8.931793180954745
44002,16600000,65,3,12,11.961469806282674
44003,20036617,44,1,11,6.9857354848189095
44004,16000000,55,2,3,15.018080499220238
44005,10200000,74,2,11,31.792264447255597
44006,9250000,61,2,13,24.151085825426712
44007,25663515,71,2,6,9.006631489591273
44008,16300000,76,3,15,24.15417509051182
44009,11000000,44,2,4,15.667182803209826
44010,22827488,61,2,10,8.382181234011131
44011,9700000,40,1,2,19.404678076413983
44012,87334950,118,3,9,10.068807358069426
44013,34601850,40,1,13,2.746308106337452
44014,8699635,24,1,24,9.105029303373476
44015,7486354,19,1,7,21.058957935821685
44016,14673822,52,3,14,21.017290169300274
44017,17000000,74,3,16,16.726896512484
44018,11812500,37,1,16,11.53529497944845
44019,65000000,210,4,8,15.453224977135246
44020,33478800,69,2,24,7.268044089817428
44021,12400000,50,2,11,16.423681108292424
44022,11193885,65,3,14,20.55979536669055
44023,51000000,106,3,4,6.525184989623293
44024,14700000,59,2,16,19.017655214846
44025,12879670,56,2,12,25.87822732065419
44026,26245116,41,1,25,3.8523291022491364
44027,151174000,345,5,5,12.818744312931827
44028,10000000,24,1,4,12.183077353132724
44029,16000000,98,3,1,20.011324640649626
44030,13700000,52,3,5,16.596332700980366
44031,10200000,80,3,8,31.762630087654678
44032,4175321,26,1,1,23.195025424479674
44033,73500000,105,2,4,1.1708182493216308
44034,20897777,55,2,17,5.200359015746198
44035,17500000,48,1,15,11.417565567043399
44036,18500000,77,3,8,23.893930866213577
44037,11800000,45,2,6,10.097101494597773
44038,14908501,44,1,2,6.3237806506672545
44039,12639018,53,2,20,23.130410146105838
44040,24900000,133,3,3,23.62356761099399
44041,25797778,54,1,14,16.27868412812812
44042,6600000,44,2,15,30.381246365724788
44043,20500000,73,3,14,16.643527194690662
44044,51713284,103,3,10,6.5528494542729
44045,7400000,37,1,13,25.543420150129702
44046,9000000,35,1,9,13.59301497554301
44047,37320000,62,2,27,7.585774055276078
44048,35500000,82,3,19,11.935918837695665
44049,9000000,37,1,8,23.28701160092468
44050,126000000,200,4,25,8.052831078374052
44051,9700000,45,2,8,16.7471928303874
44052,25394964,62,2,14,7.433970884921479
44053,94700520,139,3,9,10.717461358778937
44054,92000000,178,4,22,5.165215295624284
44055,69000000,91,3,14,6.563409029260363
44056,7250000,33,1,2,14.641981222274799
44057,3600000,13,1,1,15.89361945994931
44058,16000000,80,3,9,19.43715708287615
44059,16800000,53,2,14,12.257525387355136
44060,7250000,44,2,3,20.205952586039736
44061,24000000,75,3,15,13.672129348498535
44062,120000000,199,5,7,1.3380087027969663
44063,6800000,54,3,2,24.089978563172238
44064,10158146,33,1,24,8.08061822592835
44065,8300000,36,1,3,26.19212676504539
44066,28353654,76,3,5,6.194569763197168
44067,21723546,59,2,11,5.200359015746198
44068,19845396,68,2,5,6.446347376933833
44069,13500000,60,2,8,16.655745487540162
44070,8600000,43,2,3,18.656655352243064
44071,7700000,34,1,2,16.936011880250096
44072,45000000,84,3,14,4.887615629286754
44073,18032708,64,4,9,21.16986143248008
44074,13746701,44,2,4,21.304812385049978
44075,8000000,32,1,6,18.48680663836431
44076,6600000,36,1,11,22.631275803096912
44077,12500000,40,2,1,8.681684687806346
44078,17506005,43,1,12,5.113255089717358
44079,41671819,72,2,7,5.277523644629429
44080,52000000,64,3,5,0.9138590549012975
44081,56886000,96,3,14,8.257976711213189
44082,10900000,40,1,7,7.701959087472704
44083,26300000,78,3,3,13.392385119274467
44084,23506980,67,2,7,4.631523330880898
44085,11960503,53,2,2,18.369798839256287
44086,18186108,75,3,7,21.079234988526405
44087,35500000,67,2,8,6.563409029260363
44088,15665460,47,2,18,10.763377148437833
44089,16300000,40,1,5,2.873749411803512
44090,33900000,90,3,7,10.538140554285253
44091,8494627,40,2,6,5.426831040820094
44092,10800000,58,2,12,23.309021159841834
44093,51892800,91,2,5,6.044907140096251
44094,12000000,45,2,9,14.671133290231998
44095,4800000,36,2,3,28.6636164593474
44096,10500000,30,1,3,11.614262717026795
44097,11500000,53,2,3,26.060269549450226
44098,119028000,123,3,3,0.7950893015868495
44099,8000000,34,2,4,16.353483368743753
44100,8500000,44,2,9,17.28735748456534
44101,9799000,54,3,2,19.101936136325772
44102,38913703,91,3,13,14.180364960879979
44103,6800000,32,1,3,17.650792221824233
44104,6500000,27,1,2,21.089316467559623
44105,8708700,23,1,16,10.035636307256206
44106,25750000,73,3,11,11.219015744483126
44107,8099552,37,1,8,21.85005702997372
44108,17676422,40,1,28,6.629826519636335
44109,26000000,74,3,14,9.766441946562916
44110,37069411,71,2,5,3.3745231122214925
44111,18940000,39,1,8,7.585774055276078
44112,77500000,142,4,3,1.4677821254875616
44113,226761000,250,5,2,4.304968468419268
44114,8200000,63,2,16,30.479577060429634
44115,29100000,62,2,3,2.3033169895880703
44116,7433401,19,1,5,21.058957935821685
44117,34000000,55,2,5,2.437231009867292
44118,31828800,57,1,2,7.200707460739659
44119,16500000,60,2,17,18.47030240657873
44120,21722681,42,1,8,3.2338143827920307
44121,18500000,70,2,17,17.397535313759033
44122,14684600,62,2,15,19.620362463673874
44123,110000000,216,5,4,10.314848340274256
44124,25405897,121,5,2,21.058957935821685
44125,6050000,28,1,2,19.486966973481408
44126,8119857,41,1,1,19.64494703361386
44127,30368223,85,4,32,11.54805578697528
44128,8800000,43,1,7,18.629435868339286
44129,36900000,71,3,3,2.7641389894188726
44130,9400000,60,2,17,21.388112211965666
44131,16100000,59,2,10,16.15675067920876
44132,21500000,64,2,7,8.928241123232636
44133,16800000,69,2,11,13.026564606222939
44134,5530000,36,1,3,24.142492963275078
44135,14797351,59,3,14,21.017290169300274
44136,66516560,112,3,4,3.0826928062326764
44137,14830000,25,1,8,7.585774055276078
44138,169314880,192,4,4,2.2429491560263775
44139,39700000,91,3,13,5.539279959765446
44140,30500000,54,3,1,2.4706275518311633
44141,8499999,34,2,5,13.075929231513568
44142,11213160,58,2,18,16.832628413806546
44143,16000000,78,3,7,17.840238818975653
44144,11600000,40,1,7,22.700140698963367
44145,37210000,73,2,14,7.585774055276078
44146,8300000,33,1,10,31.148902700701907
44147,9936294,38,1,8,23.61177792911573
44148,12000000,38,2,6,8.526649691663769
44149,14000000,33,2,3,4.1232762731021015
44150,7288734,20,1,24,8.347805528999702
44151,12600000,37,1,17,12.843788952489856
44152,16500000,112,3,2,17.059881544550755
44153,23900000,63,4,5,4.130618608393622
44154,9350000,42,1,10,24.34903119370212
44155,12500000,80,2,3,21.979013119999696
44156,7504419,35,1,16,22.482892610661025
44157,12499000,56,2,11,16.487047520249686
44158,12000000,79,3,7,20.557601387588363
44159,17999999,46,2,10,7.835713896700587
44160,20500000,54,2,9,6.14613863236166
44161,12250000,56,2,10,30.656574785820197
44162,8100000,39,1,25,19.159232502695914
44163,35500000,100,2,30,7.5733160308866205
44164,13000000,52,2,10,20.702418322056197
44165,18977600,46,1,15,5.429201843710324
44166,6600000,41,1,2,20.98540929949256
44167,12800000,33,1,30,11.42179010923277
44168,16000000,60,2,4,20.145409745052596
44169,15000000,65,3,4,20.586288597221227
44170,7150000,42,1,16,30.051418644439757
44171,15478878,64,3,17,23.617649735687174
44172,18200000,56,2,5,3.9032596314597083
44173,19797780,36,1,15,7.3219686227788845
44174,4400000,13,1,1,13.033517654056952
44175,16303980,105,3,6,22.592241664095578
44176,11626786,36,2,17,8.08061822592835
44177,16500000,50,2,1,7.9101007793567435
44178,90000000,300,6,11,10.699360105800363
44179,7990000,47,2,2,18.543442279851458
44180,9199000,32,1,5,13.864304039143159
44181,10700000,44,2,7,15.754788850623232
44182,72200000,142,4,14,16.27868412812812
44183,6500000,34,1,2,26.750050277420655
44184,13000000,60,3,6,18.503890913606075
44185,315000000,370,5,5,3.9249380098396682
44186,13564672,51,2,10,21.058957935821685
44187,6180000,38,2,1,23.127426212062918
44188,23079999,35,1,8,3.918591869256118
44189,7226789,21,1,10,8.08061822592835
44190,56094736,78,2,11,3.918591869256118
44191,21000000,74,3,17,8.105642664185684
44192,14679824,59,3,11,21.16961631838018
44193,14200000,45,2,3,13.026749536476416
44194,13700000,45,2,5,13.407557100905942
44195,285000000,232,4,1,2.81052259718918
44196,11500000,33,1,8,4.9426599299378635
44197,15500000,81,3,9,28.761325039211545
44198,8548905,32,1,26,13.080030440969173
44199,5680000,37,1,8,26.707385696778665
44200,11900000,49,2,8,15.138620938174729
44201,10500000,55,3,3,15.411208255398758
44202,37070780,69,2,6,7.478169834548634
44203,12800000,36,1,8,7.358953797775945
44204,24500000,73,3,10,6.802972748471435
44205,11800000,44,1,13,12.033845062150352
44206,5850000,27,1,6,25.499639828505643
44207,11047560,26,1,24,10.965262342728414
44208,21500000,75,3,8,13.327842148826011
44209,15000000,55,2,14,15.24002812232749
44210,13900000,70,3,3,9.523935149839668
44211,9988297,32,1,22,11.968083087032982
44212,35900000,86,3,4,6.868281898131952
44213,9200000,46,1,8,16.671245570165304
44214,21000000,51,2,8,8.514516617435186
44215,12000000,38,2,1,22.013406958418326
44216,8900000,38,1,6,19.02462629729859
44217,7500000,50,1,2,24.102344543417864
44218,74999000,125,3,7,2.7641389894188726
44219,9350000,44,1,15,18.82338224577527
44220,67822000,72,2,4,1.042389200752759
44221,8900000,34,1,12,20.617143917090285
44222,10200000,33,1,11,17.59850118775228
44223,7700000,19,1,16,14.517412358193186
44224,17000000,60,2,1,13.883806112920608
44225,15376542,70,3,6,20.974610791477886
44226,14575795,61,3,6,21.128047370872725
44227,14500000,39,1,7,13.401442147672528
44228,25015320,59,2,40,6.629826519636335
44229,6400000,38,1,14,24.052900737851854
44230,18200000,62,2,20,19.964353577113044
44231,16100000,60,3,9,15.917656740507729
44232,17800000,51,2,14,12.989567132575122
44233,28700000,60,2,8,7.634026928003155
44234,13208832,59,2,18,13.080030440969173
44235,7999999,46,1,4,19.449040685751246
44236,12500000,52,2,6,18.473200283654613
44237,141000000,250,5,23,8.001106066824462
44238,103500000,240,4,5,4.640009357028638
44239,61900000,115,3,3,9.214062835467917
44240,31000000,73,2,8,7.214061724734117
44241,12300000,42,2,3,5.869759608496693
44242,14515786,27,1,29,6.629826519636335
44243,20750000,45,1,3,7.585774055276078
44244,7999000,53,2,2,25.616411896075928
44245,33130376,101,3,18,12.183077353132724
44246,21800000,49,2,30,11.043133204442322
44247,66782460,139,4,10,10.329789019460302
44248,18677066,69,2,17,12.804481914625129
44249,8100000,56,2,2,27.387443535873512
44250,16500000,30,1,9,4.5659715410626305
44251,35000000,74,3,7,4.365171282090481
44252,17597560,50,2,2,10.389217506841522
44253,43150977,80,2,6,2.7489148486055854
44254,8500000,34,1,11,15.611723759936174
44255,7278617,18,1,10,11.292324706920892
44256,5350000,31,1,9,24.593968769310177
44257,36700000,85,3,2,14.180364960879979
44258,7950000,44,2,7,20.511980244713634
44259,55000000,143,4,12,11.00665072745694
44260,16200000,42,2,2,8.893171259037008
44261,27900000,77,2,7,12.069922594358417
44262,8500000,34,1,1,9.98494468644223
44263,18000000,83,4,7,24.419736282743028
44264,12230000,26,1,8,4.416284615673803
44265,14500000,60,3,1,11.774169225409809
44266,22500000,46,2,20,5.200557684719288
44267,11139338,40,2,10,21.065363988807835
44268,18143700,59,2,20,10.035636307256206
44269,10061722,28,1,12,12.804481914625129
44270,53000000,125,3,11,12.22646965083052
44271,18500000,36,2,2,4.7911921869394085
44272,13036000,44,1,10,12.942416929418618
44273,11800000,38,2,8,11.477440375740132
44274,83000000,249,5,6,3.662925739282942
44275,13200000,54,2,8,14.486571772171068
44276,26500000,68,3,1,2.094106307547765
44277,10650000,46,2,4,15.240009447558933
44278,19000000,56,3,7,5.053162182639569
44279,19667262,66,3,11,21.304812385049978
44280,13199000,68,2,6,22.54235097387859
44281,130000000,261,1,8,9.386838367701147
44282,6200000,33,1,1,19.54809784775297
44283,9986109,81,4,4,19.958345163348895
44284,69000000,145,3,29,12.069922594358417
44285,13000000,52,2,4,13.81378404123395
44286,168500000,255,5,3,1.7501900251572924
44287,72900000,102,3,6,5.209857086842243
44288,12500000,41,1,6,11.64875780300639
